Code,Name,Market,Marcap
000815,삼성화재우,KOSPI,1147178130000
466100,클로봇,KOSDAQ,1144392793050
006110,삼아알미늄,KOSPI,1141820852500
388720,유일로보틱스,KOSDAQ,1135721658000
089860,롯데렌탈,KOSPI,1132852905600
082640,동양생명,KOSPI,1117408079960
000080,하이트진로,KOSPI,1115124414900
439960,코스모로보틱스,KOSDAQ,1107757257000
204270,제이앤티씨,KOSDAQ,1107219639240
456040,OCI,KOSPI,1101156885000
388210,씨엠티엑스,KOSDAQ,1098675044400
000210,DL,KOSPI,1085514791200
048410,현대바이오,KOSDAQ,1080862406400
115180,큐리언트,KOSDAQ,1074383625600
185750,종근당,KOSPI,1069715450000
003090,대웅,KOSPI,1061672554800
137400,피엔티,KOSDAQ GLOBAL,1061344614400
003240,태광산업,KOSPI,1056616600000
100090,SK오션플랜트,KOSPI,1050882129780
161580,필옵틱스,KOSDAQ,1045524216200
356860,티엘비,KOSDAQ,1045208569000
496320,본시스템즈,KONEX,1039340379000
330590,롯데리츠,KOSPI,1034508604720
300720,한일시멘트,KOSPI,1028897473910
280360,롯데웰푸드,KOSPI,1025389543600
003470,유안타증권,KOSPI,1019938503360
124500,아이티센글로벌,KOSDAQ,1019838961650
090460,비에이치,KOSPI,1019774024500
009450,경동나비엔,KOSPI,1005232848000
005300,롯데칠성,KOSPI,1003975248800
183300,코미코,KOSDAQ GLOBAL,1000041390400
036830,솔브레인홀딩스,KOSDAQ GLOBAL,987266685150
071055,한국금융지주우,KOSPI,983014517800
160190,하이젠알앤엠,KOSDAQ,974516400000
056190,에스에프에이,KOSDAQ GLOBAL,962354768000
365550,ESR켄달스퀘어리츠,KOSPI,962207990000
000670,영풍,KOSPI,957355516000
083450,GST,KOSDAQ,956517000000
126340,비나텍,KOSDAQ,949374871200
033100,제룡전기,KOSDAQ,944469649200
376900,로킷헬스케어,KOSDAQ,942903066600
456160,지투지바이오,KOSDAQ,933158247600
057050,현대홈쇼핑,KOSPI,925200000000
050890,쏠리드,KOSDAQ,923499316800
213420,덕산네오룩스,KOSDAQ GLOBAL,919995181950
248070,솔루엠,KOSPI,918549893560
298050,HS효성첨단소재,KOSPI,916149366000
222080,씨아이에스,KOSDAQ GLOBAL,912361089120
00088K,한화3우B,KOSPI,911038504950
006340,대원전선,KOSPI,910391369760
052020,에스티큐브,KOSDAQ,906897101940
137310,에스디바이오센서,KOSPI,903203282960
108320,LX세미콘,KOSPI,901042220000
005690,파미셀,KOSPI,897060009300
192400,쿠쿠홀딩스,KOSPI,874829751000
086450,동국제약,KOSDAQ GLOBAL,869328672400
499790,GS피앤엘,KOSPI,861650041450
035760,CJ ENM,KOSDAQ GLOBAL,857429921400
451800,한화리츠,KOSPI,853998000000
358570,지아이이노베이션,KOSDAQ,848374177200
293490,카카오게임즈,KOSDAQ GLOBAL,844894832510
336370,솔루스첨단소재,KOSPI,839799434240
006120,SK디스커버리,KOSPI,838472110650
033790,피노,KOSDAQ,834021012440
030190,NICE평가정보,KOSPI,831830761240
122870,와이지엔터테인먼트,KOSDAQ,830817128050
010780,아이에스동서,KOSPI,830141840000
074600,원익QnC,KOSDAQ GLOBAL,829386400000
079900,전진건설로봇,KOSPI,825938047000
025540,한국단자,KOSPI,819315000000
075580,세진중공업,KOSPI,818632166400
036530,SNT홀딩스,KOSPI,816824688600
006650,대한유화,KOSPI,815750000000
033240,자화전자,KOSPI,815607700500
094170,동운아나텍,KOSDAQ,814442007200
071320,지역난방공사,KOSPI,812827828800
486990,노타,KOSDAQ,807954805500
